t,NHS.region,date,deaths_adj,hosp_adm_adj,known_hosp_beds_adj,icu_bed_adj
44,South East,2020-02-14,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
44,South West,2020-02-14,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
45,East of England,2020-02-15,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960365
45,London,2020-02-15,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
45,Midlands,2020-02-15,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
45,North East and Yorkshire,2020-02-15,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
45,North West,2020-02-15,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955701
45,South East,2020-02-15,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
45,South West,2020-02-15,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
46,East of England,2020-02-16,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
46,London,2020-02-16,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
46,Midlands,2020-02-16,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
46,North East and Yorkshire,2020-02-16,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
46,North West,2020-02-16,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
46,South East,2020-02-16,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
46,South West,2020-02-16,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
47,East of England,2020-02-17,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
47,London,2020-02-17,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
47,Midlands,2020-02-17,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
47,North East and Yorkshire,2020-02-17,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
47,North West,2020-02-17,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
47,South East,2020-02-17,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
47,South West,2020-02-17,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
48,East of England,2020-02-18,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
48,London,2020-02-18,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
48,Midlands,2020-02-18,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437948
48,North East and Yorkshire,2020-02-18,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
48,North West,2020-02-18,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955702
48,South East,2020-02-18,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
48,South West,2020-02-18,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
49,East of England,2020-02-19,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
49,London,2020-02-19,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
49,Midlands,2020-02-19,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
49,North East and Yorkshire,2020-02-19,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
49,North West,2020-02-19,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955702
49,South East,2020-02-19,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
49,South West,2020-02-19,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
50,East of England,2020-02-20,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
50,London,2020-02-20,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
50,Midlands,2020-02-20,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
50,North East and Yorkshire,2020-02-20,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
50,North West,2020-02-20,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955702
50,South East,2020-02-20,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
50,South West,2020-02-20,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
51,East of England,2020-02-21,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
51,London,2020-02-21,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
51,Midlands,2020-02-21,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
51,North East and Yorkshire,2020-02-21,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
51,North West,2020-02-21,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
51,South East,2020-02-21,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
51,South West,2020-02-21,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
52,East of England,2020-02-22,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
52,London,2020-02-22,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
52,Midlands,2020-02-22,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
52,North East and Yorkshire,2020-02-22,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
52,North West,2020-02-22,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
52,South East,2020-02-22,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
52,South West,2020-02-22,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
53,East of England,2020-02-23,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
53,London,2020-02-23,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
53,Midlands,2020-02-23,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
53,North East and Yorkshire,2020-02-23,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
53,North West,2020-02-23,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
53,South East,2020-02-23,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
53,South West,2020-02-23,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
54,East of England,2020-02-24,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
54,London,2020-02-24,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
54,Midlands,2020-02-24,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
54,North East and Yorkshire,2020-02-24,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
54,North West,2020-02-24,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955702
54,South East,2020-02-24,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
54,South West,2020-02-24,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
55,East of England,2020-02-25,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
55,London,2020-02-25,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
55,Midlands,2020-02-25,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
55,North East and Yorkshire,2020-02-25,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
55,North West,2020-02-25,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
55,South East,2020-02-25,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
55,South West,2020-02-25,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
56,East of England,2020-02-26,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
56,London,2020-02-26,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
56,Midlands,2020-02-26,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
56,North East and Yorkshire,2020-02-26,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
56,North West,2020-02-26,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955701
56,South East,2020-02-26,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
56,South West,2020-02-26,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
57,East of England,2020-02-27,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
57,London,2020-02-27,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
57,Midlands,2020-02-27,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
57,North East and Yorkshire,2020-02-27,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
57,North West,2020-02-27,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955701
57,South East,2020-02-27,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
57,South West,2020-02-27,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
58,East of England,2020-02-28,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
58,London,2020-02-28,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
58,Midlands,2020-02-28,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
58,North East and Yorkshire,2020-02-28,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
58,North West,2020-02-28,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
58,South East,2020-02-28,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
58,South West,2020-02-28,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
59,East of England,2020-02-29,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
59,London,2020-02-29,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
59,Midlands,2020-02-29,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
59,North East and Yorkshire,2020-02-29,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
59,North West,2020-02-29,1.15020735317589,0.883405586922148,0.909797461738508,0.970764608955702
59,South East,2020-02-29,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
59,South West,2020-02-29,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
60,East of England,2020-03-01,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
60,London,2020-03-01,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
60,Midlands,2020-03-01,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
60,North East and Yorkshire,2020-03-01,1.15805145890617,0.907612157431794,0.93025076448539,0.97682463393067
60,North West,2020-03-01,1.15020735317589,0.883405586922148,0.909797461738507,0.970764608955701
60,South East,2020-03-01,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
