NeutTitreRelConvPlasma,Efficacy,Lower,Upper,NeutRatio_Reported,Study
0.743,78.491317323621,74.9642007419082,82.0184339053338,-0.129011186239425,LogisticModel
0.744,78.5146841815456,74.990494111522,82.0388742515692,-0.128427064454121,LogisticModel
0.745,78.5380035861405,75.0167298394572,82.0592773328238,-0.127843727251707,LogisticModel
0.746,78.5612756818972,75.0429081130618,82.0796432507326,-0.127261172527331,LogisticModel
0.747,78.5845006127137,75.0690291108747,82.0999721145527,-0.126679398184601,LogisticModel
0.748,78.6076785218977,75.0950930173185,82.1202640264769,-0.126098402135539,LogisticModel
0.749,78.6308095521697,75.1211000142652,82.1405190900742,-0.125518182300534,LogisticModel
0.75,78.6538938456659,75.147050280243,82.1607374110888,-0.1249387366083,LogisticModel
0.751,78.6769315439414,75.1729439982707,82.1809190896121,-0.124360062995832,LogisticModel
0.752,78.6999227879732,75.1987813443965,82.2010642315499,-0.123782159408358,LogisticModel
0.753,78.722867718163,75.2245624989954,82.2211729373306,-0.123205023799299,LogisticModel
0.754,78.7457664743404,75.2502876382854,82.2412453103955,-0.122628654130226,LogisticModel
0.755,78.7686191957658,75.275956940778,82.2612814507536,-0.122053048370812,LogisticModel
0.756,78.791426021133,75.3015705816381,82.281281460628,-0.121478204498793,LogisticModel
0.757,78.8141870885729,75.3271287377363,82.3012454394094,-0.120904120499927,LogisticModel
0.758,78.8369025356554,75.3526315830602,82.3211734882506,-0.120330794367946,LogisticModel
0.759,78.8595724993931,75.3780792927532,82.341065706033,-0.11975822410452,LogisticModel
0.76,78.8821971162438,75.4034720391066,82.3609221933809,-0.119186407719209,LogisticModel
0.761,78.9047765221132,75.4288099955944,82.3807430486321,-0.118615343229427,LogisticModel
0.762,78.9273108523583,75.4540933356033,82.4005283691133,-0.1180450286604,LogisticModel
0.763,78.9498002417894,75.4793222285911,82.4202782549877,-0.11747546204512,LogisticModel
0.764,78.9722448246736,75.5044968486467,82.4399928007006,-0.11690664142431,LogisticModel
0.765,78.9946447347372,75.5296173615085,82.4596721079659,-0.116338564846382,LogisticModel
0.766,79.0170001051686,75.5546839391278,82.4793162712093,-0.115771230367396,LogisticModel
0.767,79.0393110686208,75.5796967493331,82.4989253879085,-0.115204636051019,LogisticModel
0.768,79.0615777572145,75.6046559611798,82.5184995532493,-0.114638779968488,LogisticModel
0.769,79.0838003025407,75.6295617435671,82.5380388615143,-0.114073660198569,LogisticModel
0.77,79.105978835663,75.6544142607569,82.5575434105691,-0.113509274827518,LogisticModel
0.771,79.1281134871209,75.6792136811266,82.5770132931152,-0.112945621949043,LogisticModel
0.772,79.1502043869319,75.7039601665771,82.5964486072867,-0.112382699664264,LogisticModel
0.773,79.1722516645945,75.7286538860408,82.6158494431482,-0.111820506081675,LogisticModel
0.774,79.1942554490906,75.7532950014308,82.6352158967505,-0.111259039317107,LogisticModel
